"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"CT","New Haven",28.749418,0.882411,1.163639,9,26.5,0.116107,13.6,61758
"CT","New London",36.134181,1.004838,1.163639,9.2,27.6,0.105965,11.1,65602
"CT","Tolland",34.931152,0.627614,1.163639,7.2,24.8,0.105703,7.1,81616
"CT","Windham",15.881736,0.700867,1.084805,10.1,29.6,0.094019,10.9,61303
"DC","District of Columbia",2.108658,1.223264,1.16363,8.1,22.4,0.133557,17.7,73115
"DE","Kent",15.75592,0.505852,1.147299,12.8,32.8,0.09303,14.2,55678
"DE","New Castle",22.686807,0.710954,1.147299,9,27.7,0.159196,12.1,66179
"DE","Sussex",14.024768,1.380135,1.16363,13.2,31,0.142282,12.3,54309
"FL","Alachua",15.227937,0.752789,1.114266,8.3,25.6,0.128715,21.1,47023
"FL","Baker",33.127099,0.479829,1.114266,13,35.8,0.11073,16.8,50883
"FL","Bay",33.347831,1.067129,1.082025,11.2,29.9,0.100567,16.5,47745
"FL","Bradford",5.53886,0.411954,1.114266,14.4,35.9,0.03745,21.3,40879
"FL","Brevard",40.248706,0.861937,1.114266,11.7,25.6,0.080807,13.4,50352
"FL","Broward",9.066691,0.790163,1.216942,9.5,24.4,0.097901,14,53624
"FL","Calhoun",18.023092,0.550509,1.082025,15.5,39.4,0,22.2,36062
"FL","Charlotte",41.814169,0.74789,1.216942,14.1,25.7,0.077163,12.4,45495
"FL","Citrus",31.072985,0.609857,1.216942,14.6,26.3,0.057398,17.5,39982
"FL","Clay",24.350373,0.500506,1.114266,12,29.7,0.090091,11.6,59244
"FL","Collier",28.177639,1.1612,1.216942,8.6,19.5,0.094616,13.6,62385
"FL","Columbia",16.403899,0.604212,1.114266,12.7,36.3,0.088421,19.7,43303
"FL","DeSoto",9.90986,0.314178,1.216942,13.7,36,0,30.5,34380
"FL","Dixie",9.0384,0.251462,1.082025,14,30.6,0,29.3,35749
"FL","Duval",24.718662,0.775316,1.114266,11.2,30.6,0.089117,16,49565
"FL","Escambia",36.49704,0.65345,1.082025,12.4,28.9,0.077255,15.4,45735
"FL","Flagler",34.5273,0.712835,1.114266,12.4,24.2,0.048824,11.7,50347
"FL","Franklin",2.48883,1.86204,1.082025,11,32.2,0.084638,23.7,38220
"FL","Gadsden",8.560033,0.3025,1.082025,17.1,36.5,0,24.5,36637
"FL","Gilchrist",0.443007,0.235336,1.114266,8.4,31.5,0,19.2,39342
"FL","Glades",56.903969,0.220022,1.216942,13.8,33.1,0,22.1,40215
"FL","Gulf",18.737443,0.689915,1.082025,11.1,30.9,0.06272,21.9,41320
"FL","Hamilton",22.071535,0.213554,1.114266,13,33.2,0,31.8,33497
"FL","Hardee",35.295674,0.291237,1.216942,12.6,33.9,0.072809,25.9,35850
"FL","Hendry",24.631747,0.41553,1.216942,13.7,35.2,0.077912,25.8,39320
"FL","Hernando",36.051599,0.608456,1.216942,13.4,32.1,0.062552,14.3,43103
"FL","Highlands",33.159602,0.570056,1.216942,14.2,31,0.061077,22.9,34691
"FL","Hillsborough",24.431721,0.664743,1.216942,10.4,28.3,0.096483,15.8,51710
"FL","Holmes",15.723899,0.508906,1.082025,14.2,31.6,0,25.9,35202
"FL","Indian River",37.172886,0.808262,1.216942,11.4,24.5,0.131256,13,49887
