"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc","males","totpop","area"
"TN","Montgomery",33.419108,0.65803,0.970305,9.8,29,0.084228,13.4,49603,84454,172331,539.18
"TN","Moore",33.723615,0.633012,0.970305,14,32,0,11.8,52911,3129,6362,129.22
"TN","Morgan",18.203238,0.092336,1.136671,12.3,30.3,0,21.2,46067,12107,21987,522.18
"TN","Obion",10.917132,0.678711,1.136671,15.5,33.6,0.096959,19.5,39946,15326,31807,544.73
"TN","Overton",1.334458,0.363174,0.970305,15.1,33,0.045397,17.5,36316,10899,22083,433.48
"TN","Perry",25.000387,0.383534,0.970305,16.3,31.4,0,22.3,34445,3974,7915,414.73
"TN","Pickett",0.766205,0.9758,0.970305,15,33.1,0,18.9,34714,2550,5077,162.98
"TN","Polk",0.293342,0.41841,1.136671,13.7,34.9,0,18.4,38923,8371,16825,434.68
"TN","Putnam",20.144023,0.78204,0.970305,12.5,32.6,0.121351,19.7,40629,35818,72321,401.1
"TN","Rhea",9.941435,0.673999,1.136671,13.7,30.4,0.061273,23.3,39863,15568,31809,315.38
"TN","Roane",25.732828,0.284371,1.136671,13.4,34.1,0.056874,17.6,43939,26628,54181,360.71
"TN","Robertson",6.850212,0.558175,0.970305,12.8,35.6,0.014689,12.3,53413,32634,66283,476.29
"TN","Rutherford",24.782747,0.609195,0.970305,9.9,33,0.062304,11.1,60022,129726,262604,619.36
"TN","Scott",3.551139,0.31837,1.136671,13.4,28.9,0,25.5,33254,10911,22228,532.3
"TN","Sequatchie",0.063943,0.340044,1.136671,13.5,28.3,0.068009,18.7,43207,7006,14112,265.86
"TN","Sevier",12.666153,1.629692,1.136671,12.2,30.6,0.063085,14.6,41987,44313,89889,592.5
"TN","Shelby",29.457004,0.597569,0.970305,12.2,32.6,0.080954,20.2,46998,442652,927644,763.17
"TN","Smith",1.428315,0.47346,0.970305,13.6,36.8,0,18.1,44556,9439,19166,314.29
"TN","Stewart",1.856268,0.451841,0.970305,15.2,31.4,0,15.5,44266,6655,13324,459.33
"TN","Sullivan",33.178737,0.738632,1.136671,14.4,30.1,0.146453,16.4,42277,75826,156823,413.36
"TN","Sumner",29.876371,0.567438,0.970305,11.8,29.7,0.092643,10.1,59816,78389,160645,529.45
"TN","Tipton",18.564188,0.438148,0.970305,13.5,35.4,0.048683,14.4,54077,29946,61081,458.37
"TN","Unicoi",13.115627,0.72371,1.136671,14.7,33.4,0.11134,19.2,36641,8963,18313,186.17
"TN","Union",2.025803,0.209282,1.136671,13.8,31,0,23.9,36878,9524,19109,223.55
"TN","Van Buren",0.708763,0,0.970305,14.6,32.1,0,18.9,39348,2769,5548,273.42
"TN","Warren",8.317005,0.475368,0.970305,16.3,31.4,0.050039,21.2,39357,19653,39839,432.68
"TN","Washington",21.950175,0.895106,1.136671,12.9,32.2,0.06337,17.2,45261,60089,122979,326.47
"TN","Wayne",22.232897,0.413883,0.970305,12.3,32.7,0,25.4,34895,9402,17021,734.1
"TN","Weakley",11.795855,0.523667,1.136671,14.7,30.9,0,18.2,38025,17159,35021,580.36
